City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Kargasok,RU,2021-10-20 02:32:35,59.0556,80.8572,42.76,81,100,10.74
117,Zhanakorgan,KZ,2021-10-20 02:32:35,43.9098,67.2495,53.19,27,85,5.53
118,Vila Franca Do Campo,PT,2021-10-20 02:32:36,37.7167,-25.4333,63.01,79,5,4.59
119,Bredasdorp,ZA,2021-10-20 02:32:36,-34.5322,20.0403,55.74,94,0,11.27
120,Baykit,RU,2021-10-20 02:32:36,61.67,96.37,38.98,96,100,5.01
121,Bambous Virieux,MU,2021-10-20 02:32:37,-20.3428,57.7575,71.22,94,40,5.75
122,Jaypur,IN,2021-10-20 02:32:37,18.85,82.5833,76.21,84,99,3.74
123,Melilla,ES,2021-10-20 02:32:37,35.2937,-2.9383,66.4,94,0,1.14
124,Dikson,RU,2021-10-20 02:32:38,73.5069,80.5464,25.27,66,98,6.96
125,Yulara,AU,2021-10-20 02:32:38,-25.2406,130.9889,98.44,18,40,20.71
126,Atuona,PF,2021-10-20 02:32:39,-9.8,-139.0333,78.15,76,15,17.96
127,Lebu,CL,2021-10-20 02:31:59,-37.6167,-73.65,50.94,97,10,8.14
128,Georgetown,MY,2021-10-20 02:27:52,5.4112,100.3354,84.13,79,20,2.3
129,Padang,ID,2021-10-20 02:31:45,-0.9492,100.3543,82.65,74,100,0.78
130,Mayo,US,2021-10-20 02:32:39,38.8876,-76.5119,63.1,73,1,1.01
131,Kone,NC,2021-10-20 02:32:40,-21.0595,164.8658,77.09,80,100,0.98
132,Guayaramerin,BO,2021-10-20 02:32:40,-10.8368,-65.3614,73.29,97,91,2.08
133,Ancud,CL,2021-10-20 02:32:23,-41.8697,-73.8203,53.13,98,37,0.25
134,Deming,US,2021-10-20 02:32:41,32.2687,-107.7586,66.09,32,1,8.05
135,Hobyo,SO,2021-10-20 02:32:41,5.3505,48.5268,78.1,85,59,10.0
136,Choix,MX,2021-10-20 02:32:41,26.7092,-108.3219,75.16,71,34,2.17
137,Sarny,UA,2021-10-20 02:32:42,51.338,26.6019,44.02,88,100,10.47
138,Moyobamba,PE,2021-10-20 02:32:42,-6.05,-76.9667,65.16,98,100,1.23
139,Qaanaaq,GL,2021-10-20 02:28:08,77.484,-69.3632,27.43,93,100,6.31
140,Calama,CL,2021-10-20 02:32:43,-22.4667,-68.9333,54.09,26,62,4.61
141,Lewistown,US,2021-10-20 02:32:43,40.5992,-77.5714,60.44,86,1,4.81
142,Umm Lajj,SA,2021-10-20 02:31:51,25.0213,37.2685,78.31,62,0,10.47
143,Canyon,US,2021-10-20 02:31:20,34.9803,-101.9188,67.46,36,3,7.99
144,Jamkhed,IN,2021-10-20 02:32:44,18.7362,75.3121,74.44,53,17,7.36
145,Cervo,ES,2021-10-20 02:32:44,43.6702,-7.4101,64.45,85,91,9.62
146,Bijie,CN,2021-10-20 02:32:44,27.3125,105.2942,48.4,92,100,5.39
147,Sawtell,AU,2021-10-20 02:32:45,-30.3833,153.1,75.52,84,75,12.66
148,Manado,ID,2021-10-20 02:30:46,1.487,124.8455,93.97,52,40,6.91
149,Maniitsoq,GL,2021-10-20 02:32:45,65.4167,-52.9,35.11,48,38,9.82
150,Fortuna,US,2021-10-20 02:32:46,40.5982,-124.1573,55.74,69,90,5.99
151,Palu,ID,2021-10-20 02:32:46,-0.8917,119.8707,87.96,67,94,2.89
152,Imeni Babushkina,RU,2021-10-20 02:32:46,59.7573,43.1285,32.63,92,98,6.06
153,Mehamn,NO,2021-10-20 02:32:46,71.0357,27.8492,29.03,72,91,4.36
154,Leningradskiy,RU,2021-10-20 02:32:47,69.3833,178.4167,26.11,94,100,17.18
155,Ilo,PE,2021-10-20 02:32:47,-17.6394,-71.3375,61.32,84,100,5.44
156,Viedma,AR,2021-10-20 02:30:25,-40.8135,-62.9967,60.42,48,1,11.97
157,Nanortalik,GL,2021-10-20 02:32:48,60.1432,-45.2371,39.63,56,0,7.54
158,Guerrero Negro,MX,2021-10-20 02:32:48,27.9769,-114.0611,64.33,69,85,13.33
159,Montes Claros,BR,2021-10-20 02:32:49,-16.735,-43.8617,74.98,69,40,3.44
160,San Vicente,AR,2021-10-20 02:32:49,-26.6167,-54.1333,54.14,81,0,3.58
161,Kapuskasing,CA,2021-10-20 02:32:49,49.4169,-82.4331,55.49,71,1,8.05
162,Tafalla,ES,2021-10-20 02:32:50,42.5269,-1.6745,60.06,85,47,6.58
163,Portland,US,2021-10-20 02:27:58,45.5234,-122.6762,60.39,80,90,1.01
164,Marsabit,KE,2021-10-20 02:32:50,2.3284,37.9899,62.24,88,100,19.33
165,Busselton,AU,2021-10-20 02:32:51,-33.65,115.3333,60.08,85,100,23.31
166,Oum Hadjer,TD,2021-10-20 02:32:51,13.2954,19.6966,81.93,23,68,10.96
167,Flin Flon,CA,2021-10-20 02:30:05,54.7682,-101.865,30.42,78,54,3.78
168,Viravanallur,IN,2021-10-20 02:32:52,8.7,77.5333,82.13,66,100,3.8
169,San Quintin,MX,2021-10-20 02:32:52,30.4833,-115.95,62.42,69,79,12.5
170,Kasongo-Lunda,CD,2021-10-20 02:32:52,-6.4667,16.8167,69.6,99,87,1.07
171,Manga,BF,2021-10-20 02:32:53,11.6636,-1.0731,75.83,82,47,5.03
172,Kushikino,JP,2021-10-20 02:32:53,31.7167,130.2667,69.26,46,91,10.76
173,Torbay,CA,2021-10-20 02:32:53,47.6666,-52.7314,50.77,92,90,3.44
174,Beloha,MG,2021-10-20 02:32:54,-25.1667,45.05,66.07,81,100,10.27
175,Saint-Joseph,RE,2021-10-20 02:32:54,-21.3667,55.6167,70.16,71,27,5.95
