City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Asfi,MA,67.23,broken clouds,32.2994,-9.2372,Hôtel Abda
306,Barranca,PE,63.41,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
308,Vicuna,CL,74.77,clear sky,-30.0319,-70.7081,Los Mosaicos
311,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
312,Damietta,EG,70.59,clear sky,31.4165,31.8133,SULIMAN INN
315,Vila Franca Do Campo,PT,68.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
316,Mastic Beach,US,68.41,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
318,Carnarvon,AU,66.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
319,Pacific Grove,US,65.44,clear sky,36.6177,-121.9166,Lovers Point Inn
320,Lompoc,US,66.25,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
327,Luanda,AO,75.67,overcast clouds,-8.8368,13.2343,Hotel Fórum
328,Mecca,SA,79.02,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
332,Villamontes,BO,74.93,clear sky,-21.25,-63.5,Hotel Raldes
333,Nouadhibou,MR,69.91,overcast clouds,20.931,-17.0347,El Medina
334,Matay,EG,68.5,clear sky,28.419,30.7792,Nag Aespen
337,Aswan,EG,73.62,clear sky,24.0934,32.907,Nuba Nile
338,Nishihara,JP,72.68,few clouds,26.1842,127.7558,Minshuku Agaihama
345,Ramnagar,IN,61.72,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
349,Namibe,AO,63.05,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
350,Marzuq,YE,70.25,few clouds,14.4,46.4667,
351,Salinas,US,65.86,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
355,Sao Joao Da Barra,BR,71.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
356,Bonthe,SL,78.6,light rain,7.5264,-12.505,Bonthe Holiday Village
358,Canutama,BR,75.34,light rain,-6.5339,-64.3831,Hotel Jhennifer
359,Alta Floresta,BR,74.77,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
361,Sal Rei,CV,77.56,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
362,Yambio,SS,65.01,overcast clouds,4.5721,28.3955,Naivasha Hotel
366,Ngemplak,ID,75.04,broken clouds,-7.5497,110.7164,Hotel Pramesthi
369,Waiouru,NZ,64.83,broken clouds,-39.4833,175.6667,Tāwhiri
372,Chimbote,PE,64.09,scattered clouds,-9.0853,-78.5783,Hotel Viera Chimbote
374,Weligama,LK,77.65,moderate rain,5.9667,80.4167,Weligama Bay Resort
378,Laguna,US,67.05,few clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
379,Mugumu,TZ,65.01,overcast clouds,-1.85,34.7,Lemala Mara
381,Umrala,IN,77.95,scattered clouds,21.8333,71.8167,Gopalwadi Balmndir
382,Broome,US,65.35,few clouds,42.2506,-75.833,Chenango Valley State Park
383,Mumford,GH,78.46,moderate rain,5.2618,-0.759,Spanish Villa
386,Hervey Bay,AU,77.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
388,Axim,GH,78.19,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
389,Baragua,CU,79.27,overcast clouds,21.6967,-78.6328,Hotel Itabo
391,La Palma,US,63.03,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
392,Broken Hill,AU,65.97,clear sky,-31.95,141.4333,Royal Exchange Hotel
396,Muisne,EC,76.17,overcast clouds,0.6,-80.0333,Quinta Samay
397,Huarmey,PE,65.84,clear sky,-10.0681,-78.1522,Hotel Miramar
398,Lethem,GY,79.0,overcast clouds,3.3803,-59.7968,Savannah Inn
399,Westport,US,73.17,overcast clouds,41.1415,-73.3579,The Westport Inn
400,Beloha,MG,71.4,few clouds,-25.1667,45.05,
407,Muros,ES,60.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
411,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
413,Nelson Bay,AU,69.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
414,Bayog,PH,78.51,broken clouds,7.8667,123.0667,JMG Traveller's Inn
416,Camana,PE,63.68,scattered clouds,-16.6228,-72.7111,Hostal Morales
421,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
424,Hashimoto,JP,62.51,broken clouds,34.3167,135.6167,Natural hot spring Yunosato
427,Jian,CN,61.02,light rain,27.1172,114.9793,Luling International Hotel
429,Ambilobe,MG,74.01,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
430,Bosaso,SO,78.71,broken clouds,11.2842,49.1816,Red Sea Hotel
434,Palaikastron,GR,64.74,overcast clouds,35.2,26.25,Marina Village
438,Xapuri,BR,75.85,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
439,Moree,AU,75.22,clear sky,-29.4667,149.85,Molika Springs Motel
441,Puerto Parra,CO,79.23,few clouds,6.6515,-74.0573,Casa Hotel Villa Johana
442,Waw,SS,76.46,broken clouds,7.7029,27.9953,Universal Gab Hotel
443,Qui Nhon,VN,75.99,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
445,Kaohsiung,TW,78.1,few clouds,22.6163,120.3133,御宿商旅-中山館
446,Sajanan,TN,64.67,overcast clouds,37.0573,9.2426,Centre de culture du tabac sejenene
447,Gambela,ET,75.0,broken clouds,8.25,34.5833,Solomon Debebe Hotel
451,Praia Da Vitoria,PT,68.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
458,Sakakah,SA,68.14,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
460,Maneadero,MX,68.18,few clouds,31.7167,-116.5667,Casa De Thompson
461,Constitucion,CL,60.04,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
467,Santo Nino,PH,74.91,overcast clouds,6.435,124.6975,The Signature Place
468,Matara,LK,77.18,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
470,America Dourada,BR,74.44,broken clouds,-11.4553,-41.4361,Pousada do Ninho
472,Mattru,SL,74.25,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
475,Kensington,AU,69.96,scattered clouds,-33.9167,151.2167,Meriton Suites Zetland
477,Casper,US,69.01,clear sky,42.8666,-106.3131,Ramkota Hotel
478,Viedma,AR,60.89,broken clouds,-40.8135,-62.9967,Hotel Cristal
482,Augusto Correa,BR,79.54,broken clouds,-1.0217,-46.635,Fazenda Bacuri
486,Fatehpur,IN,71.58,few clouds,25.9333,80.8,Hotel Bombay Lodge
488,Talara,PE,66.96,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
490,Avera,US,76.71,broken clouds,33.194,-82.5271,
492,Sai Buri,TH,76.51,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
494,Le Moule,GP,78.84,clear sky,16.3332,-61.3473,Lakaz Hananou
499,Lahat,ID,71.96,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
500,Port Macquarie,AU,72.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
505,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
508,Manakara,MG,70.5,clear sky,-22.1333,48.0167,La Residence Manakara
510,Tias,ES,67.75,few clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
518,Kitui,KE,66.04,scattered clouds,-1.367,38.0106,Heritage Bliss Hotel
519,Glenwood Springs,US,78.6,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
521,Port Shepstone,ZA,64.08,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
525,Nyimba,ZM,78.49,clear sky,-14.5566,30.8149,Dali Dali Lodge
527,Flinders,AU,68.81,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
530,Rangpo,IN,60.94,clear sky,27.1833,88.5333,Hotel Darpad
532,Upington,ZA,64.78,clear sky,-28.4478,21.2561,River Place Manor
536,Nijar,ES,61.65,clear sky,36.9665,-2.206,La Casa del Cine
538,Tahta,EG,69.42,clear sky,26.7693,31.5021,مصطفي عساف
